product_id,id,title,content,rating
262733056,7664827,Bình thường,Sản phẩm chất lượng đúng với thương hiệu lock&lock đầy đủ phụ kiện và có chính sách bảo hành 1 năm kèm theo huớng dẫn sử dụng sản phẩm cho sản phẩm 5 sao..nhưng Tiki nên xem lại thái độ dịch vụ của nhân viên viên giao hàng “ Giao lúc 8h sáng mình có việc ra ngoài không nhận đuợc hẹn 11h sẽ có mặt ở nhà để nhận vậy mà nói chị không nhận em trả về kho không giao nữa mai nghỉ ( nhưng thái độ nói chuyện kiểu hằng học )   . Mình nghĩ sẽ không giao lại nên đã đặt bên khác .. thì 11h đthoai gọi mình ra nhận trong khi lúc sáng đã nói không giao nữa ( Thái độ giao hàng thì như quăng luôn bịch hàng cho mình ) Tiki nên xem lại nhân viên giao hàng bên mình nha .. Giao hay không nói đúng để mình biết mình lựa sản phẩm cuả dịch vụ khác.,3
262733056,15173713,Bình thường,"Máy khá nặng, dùng mức gió cao nhất thì rung gây mỏi và tê tay. Chuyển từ chế độ gió nóng qua gió mát thì mất mấy phút vẫn còn nóng, không mát ngay như các dòng máy khác.",3
262733056,8075902,Rất không hài lòng,"Báo xuất hoá đơn, 1 tỉ lần Seller vẫn không có phản hồi !!!!!!! Tiki thì báo có rồi lại không có, đợi hơn 1 tháng vẫn chưa giải quyết được !!? Thứ 6 báo đã có, nay gọi lên CSKH báo đợi tiếp 2 ngày!!!? Nếu không có hoá đơn thì báo cho người ta biết người ta đừng mua, rồi giờ mua cho công ty mà bị như này rồi sao mình hoàn ứng? Có mỗi cái chuyện như này thôi cũng mất thời gian. Chăm sóc sau bán hàng tệ hơn chữ tệ. Chỉ biết bán thôi thì mua chi rước cục tức !!!!",1
262733056,13829071,Rất không hài lòng,Trong hình ảnh quảng cáo và ảnh vỏ hộp có nắp dẹt thu gọn đường gió thổi nhưng thực tế bóc hộp không có. Vui lòng giải quyết,1
262733056,18694320,Bình thường,"Máy cầm khá nặng tay dễ gây mỏi, phần đầu máy gắn không chắc, khi va chạm nhẹ cũng đủ để bay ra.",3
262733056,14268894,Không hài lòng,"Máy hoạt động bình thường tuy nhiên phần thân máy bị nứt ra như hình, mong tiki và shop xem xét",2
262733056,19152552,Rất không hài lòng,Tệ sản phẩm quá tệ! Đầu nối dễ bung ra. Chẳng dùng đc!,1
262733056,13948829,Rất không hài lòng,"Đóng gói không cẩn thận, sản phẩn cũ có trầy xước, máy đã bị tháo ra thấy có một con ốc bị trầy, thử thì máy hoạt động nói chung không hài lòng",1
262733056,17599389,Rất không hài lòng,"Mua màu xanh cho nam mà giao màu hồng,rất chán luôn,shop nên làm việc can thận hơn",1
162841495,20078831,Rất không hài lòng,"Máy rất yếu (sau khi sạc qua đêm 12h vẫn thế). Tôi vừa mua tiki trading hơn 2 tháng trước, đặt cái thứ 2 nhưng Tiki trading hết hàng. Nên tôi so sánh được, chứ nếu chỉ dùng cái này không biết nó yếu, cắt rât lâu mới đứt. Đề nghị shop đổi lại cái mạnh hơn hoặc trả lại hàng.",1
